Name,Sector,Market Cap,Return
SUNPHARMA,Basic Materials,364734.91,52.54
PIDILITIND,Basic Materials,148485.95,23.28
TATACHEM,Basic Materials,28349.69,17.77
ULTRACEMCO,Basic Materials,279567.27,28.38
COALINDIA,Basic Materials,278832.64,95.54
NEOGEN,Basic Materials,4109.61,-4.14
KRISHANA,Basic Materials,1439.34,-2.74
HINDZINC,Basic Materials,173871.88,34.12
DRREDDY,Basic Materials,103740.11,26.29
ZYDUSLIFE,Basic Materials,95718.01,83.27
TORNTPHARM,Basic Materials,91183.26,62.51
CIPLA,Basic Materials,113535.88,53.55
ITC,Consumer Defensive,546268.99,3.4
DMART,Consumer Defensive,303052.9,29.65
NESTLEIND,Consumer Defensive,247079.73,14.09
VBL,Consumer Defensive,187367.52,102.01
BRITANNIA,Consumer Defensive,116680.22,5.42
GODREJCP,Consumer Defensive,122922.55,32.51
PATANJALI,Consumer Defensive,55064.85,67.97
ABFRL,Consumer Defensive,26926.43,20.62
HNDFDS,Consumer Defensive,5726.95,-24.46
MCDOWELL-N,Consumer Defensive,"87,206",53.87
MARICO,Consumer Defensive,"67,015",3.6
LAOPALA,Consumer Defensive,"3,634",-13.54
BCLIND,Consumer Defensive,"1,618",38.57
GMBREW,Consumer Defensive,"1,420",36.43
COLPAL,Consumer Defensive,76146.46,79
SBIN,Financial Services,725303.21,38.56
BAJFINANCE,Financial Services,451551.63,7.18
ITC,Financial Services,546268.99,3.4
UCOBANK,Financial Services,67909.84,89.37
BANKBARODA,Financial Services,138928.64,42.77
UNIONBANK,Financial Services,114504.08,98.95
SBILIFE,Financial Services,144656.68,121.18
INDUSINDBK,Financial Services,116444.45,25.68
CANBK,Financial Services,111904.62,93
IDBI,Financial Services,94674.9,61.53
INDIANB,Financial Services,70991.74,39.1
FEDERALBNK,Financial Services,37990.74,16.41
JSWSTEEL,Industrials,221509.22,22.33
GRINDWELL,Industrials,23219.64,9.96
SKFINDIA,Industrials,23082.83,10.34
VGUARD,Industrials,14892.92,34.44
RHIM,Industrials,13291.46,-0.13
CCL,Industrials,7798.7,-3.55
VRLLOG,Industrials,4959.46,-9.97
APCOTEXIND,Industrials,2327.32,-11.15
BHARATWIRE,Industrials,2081.74,86.9
BBTC,Industrials,11016.29,51.3
TATASTEEL,Industrials,209348.75,29.31
SIEMENS,Industrials,204040.88,64.24
INDIGO,Industrials,147156.31,90.35
TATACONSUM,Industrials,105407.35,21.81
RELIANCE,Consumer Cyclical,1975547.48,32.2
TCS,Consumer Cyclical,1393759.67,18.7
BHARTIARTL,Consumer Cyclical,795783.89,65.9
HAVELLS,Consumer Cyclical,97800.15,33.32
